data,Region,region.en,total.positive,new.positives,total.cases,population,population.per.mil,total.pos.per.mil,total.cas.per.mil
2020-02-24T18:00:00,Abruzzo,Abruzzo,0,0,0,1311580,1.31158,0,0
2020-02-24T18:00:00,Basilicata,Basilicata,0,0,0,562869,0.562869,0,0
2020-02-24T18:00:00,Calabria,Calabria,0,0,0,1947131,1.947131,0,0
2020-02-24T18:00:00,Campania,Campania,0,0,0,5801692,5.801692,0,0
2020-02-24T18:00:00,Emilia-Romagna,Emilia-Romagna,18,18,18,4459477,4.459477,4.03634776,4.03634776
2020-02-24T18:00:00,Friuli Venezia Giulia,Friuli-Venezia Giulia,0,0,0,1215220,1.21522,0,0
2020-02-24T18:00:00,Lazio,Lazio,2,2,3,5879082,5.879082,0.340189166,0.510283748
2020-02-24T18:00:00,Liguria,Liguria,0,0,0,1550640,1.55064,0,0
2020-02-24T18:00:00,Lombardia,Lombardy,166,166,172,10060574,10.060574,16.50005258,17.09644002
2020-02-24T18:00:00,Marche,Marche,0,0,0,1525271,1.525271,0,0
2020-02-24T18:00:00,Molise,Molise,0,0,0,305617,0.305617,0,0
2020-02-24T18:00:00,Piemonte,Piedmont,3,3,3,4356406,4.356406,0.68864105,0.68864105
2020-02-24T18:00:00,Puglia,Apulia,0,0,0,4029053,4.029053,0,0
2020-02-24T18:00:00,Sardegna,Sardinia,0,0,0,1639591,1.639591,0,0
2020-02-24T18:00:00,Sicilia,Sicily,0,0,0,4999891,4.999891,0,0
2020-02-24T18:00:00,Toscana,Tuscany,0,0,0,3729641,3.729641,0,0
2020-02-24T18:00:00,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,0,0,0,1072276,1.072276,0,0
2020-02-24T18:00:00,Umbria,Umbria,0,0,0,882015,0.882015,0,0
2020-02-24T18:00:00,Valle d'Aosta,Aosta,0,0,0,125666,0.125666,0,0
2020-02-24T18:00:00,Veneto,Veneto,32,32,33,4905854,4.905854,6.522819472,6.726657581
2020-02-25T18:00:00,Abruzzo,Abruzzo,0,0,0,1311580,1.31158,0,0
2020-02-25T18:00:00,Basilicata,Basilicata,0,0,0,562869,0.562869,0,0
2020-02-25T18:00:00,Calabria,Calabria,0,0,0,1947131,1.947131,0,0
2020-02-25T18:00:00,Campania,Campania,0,0,0,5801692,5.801692,0,0
2020-02-25T18:00:00,Emilia-Romagna,Emilia-Romagna,26,8,26,4459477,4.459477,5.830280098,5.830280098
2020-02-25T18:00:00,Friuli Venezia Giulia,Friuli-Venezia Giulia,0,0,0,1215220,1.21522,0,0
2020-02-25T18:00:00,Lazio,Lazio,2,0,3,5879082,5.879082,0.340189166,0.510283748
2020-02-25T18:00:00,Liguria,Liguria,1,1,1,1550640,1.55064,0.644895011,0.644895011
2020-02-25T18:00:00,Lombardia,Lombardy,231,68,240,10060574,10.060574,22.96091654,23.85549771
2020-02-25T18:00:00,Marche,Marche,0,0,0,1525271,1.525271,0,0
2020-02-25T18:00:00,Molise,Molise,0,0,0,305617,0.305617,0,0
2020-02-25T18:00:00,Piemonte,Piedmont,3,0,3,4356406,4.356406,0.68864105,0.68864105
