data,Region,region.en,home isolation,total positive,total positive variation (don't know what it refers to),new positives,dismissed recovered,death,total cases,population,population.per.mil,total.pos.per.mil,total.cas.per.mil,new,new.per.pop,taste,smell,covid1,covid2,covid
10-03-20,Abruzzo,Abruzzo,11,37,7,8,0,1,38,1311580,1.31158,28.21025023,28.97268943,32,24.39805426,,100,78,100,89
10-03-20,Basilicata,Basilicata,5,7,2,2,0,0,7,562869,0.562869,12.43628624,12.43628624,6,10.65967392,,,84,53,68.5
10-03-20,Calabria,Calabria,1,11,2,2,2,0,13,1947131,1.947131,5.64933741,6.676489666,12,6.162913538,,,73,77,75
10-03-20,Campania,Campania,85,126,7,7,1,0,127,5801692,5.801692,21.71780232,21.89016583,97,16.71926052,,22,82,73,77.5
10-03-20,Emilia-Romagna,Emilia-Romagna,650,1417,131,147,31,85,1533,4459477,4.459477,317.7502653,343.7622842,1113,249.5808365,31,24,68,69,68.5
10-03-20,Friuli Venezia Giulia,Friuli-Venezia Giulia,77,110,21,23,3,3,116,1215220,1.21522,90.51858923,95.45596682,103,84.75831537,,,59,59,59
10-03-20,Lazio,Lazio,34,99,5,14,11,6,116,5879082,5.879082,16.8393637,19.7309716,102,17.34964744,,16,82,84,83
10-03-20,Liguria,Liguria,42,128,31,32,5,8,141,1550640,1.55064,82.54656142,90.93019656,117,75.4527163,,,74,68,71
10-03-20,Lombardia,Lombardy,642,4427,-63,322,896,468,5791,10060574,10.060574,440.0345348,575.6132801,4271,424.5284613,77,32,68,71,69.5
10-03-20,Marche,Marche,175,381,68,71,0,13,394,1525271,1.525271,249.7916764,258.3147519,333,218.3218589,,,73,62,67.5
10-03-20,Molise,Molise,9,15,1,1,0,0,15,305617,0.305617,49.08103934,49.08103934,12,39.26483147,,,100,90,95
10-03-20,Piemonte,Piedmont,64,436,99,103,0,17,453,4356406,4.356406,100.0824992,103.9847985,397,91.13016555,100,26,79,73,76
10-03-20,Puglia,Apulia,21,55,9,9,1,3,59,4029053,4.029053,13.65085046,14.64363958,53,13.1544559,,36,83,69,76
10-03-20,Sardegna,Sardinia,11,20,1,1,0,0,20,1639591,1.639591,12.19816405,12.19816405,19,11.58825585,,,73,75,74
10-03-20,Sicilia,Sicily,41,60,8,8,2,0,62,4999891,4.999891,12.00026161,12.40027033,55,11.00023981,,,69,59,64
10-03-20,Toscana,Tuscany,129,260,54,56,3,1,264,3729641,3.729641,69.71180336,70.78429264,245,65.68996855,,,74,66,70
10-03-20,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,48,88,46,48,2,0,90,1072276,1.072276,82.06842268,83.93361411,85,79.27063555,,,56,43,49.5
10-03-20,Umbria,Umbria,27,37,9,9,0,0,37,882015,0.882015,41.94939995,41.94939995,29,32.87925942,,,75,76,75.5
10-03-20,Valle d'Aosta,Aosta,15,17,2,2,0,0,17,125666,0.125666,135.2792323,135.2792323,17,135.2792323,,,84,97,90.5
10-03-20,Veneto,Veneto,512,783,89,112,47,26,856,4905854,4.905854,159.605239,174.4854209,549,111.9071216,63,,54,50,52
,,,,,,,,,,,,,,,,,,,,
data,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
2020-03-10T18:00:00,,,,,,,,,,,,,,,,,,,,
