data,Region,region.en,total positive,total cases,population,population.per.mil,total.pos.per.mil,total.cas.per.mil,new,new.per.pop,taste,smell,covid
2020-03-24T17:00:00,Abruzzo,Abruzzo,622,689,1311580,1.31158,474.2371796,525.3206057,460,350.7220299,,48,97
2020-03-24T17:00:00,Basilicata,Basilicata,91,92,562869,0.562869,161.6717211,163.4483334,72,127.916087,,,100
2020-03-24T17:00:00,Calabria,Calabria,304,319,1947131,1.947131,156.127143,163.8307849,205,105.2831063,,,78
2020-03-24T17:00:00,Campania,Campania,992,1101,5801692,5.801692,170.9846024,189.7722251,641,110.4850102,47,31,82
2020-03-24T17:00:00,Emilia-Romagna,Emilia-Romagna,7711,9254,4459477,4.459477,1729.126532,2075.131232,5323,1193.637729,60,52,82
2020-03-24T17:00:00,Friuli Venezia Giulia,Friuli-Venezia Giulia,848,992,1215220,1.21522,697.8160333,816.3130956,598,492.0919669,,,52
2020-03-24T17:00:00,Lazio,Lazio,1545,1728,5879082,5.879082,262.7961304,293.9234391,1121,190.6760273,33,31,79
2020-03-24T17:00:00,Liguria,Liguria,1692,2116,1550640,1.55064,1091.162359,1364.597843,1338,862.8695248,96,55,95
2020-03-24T17:00:00,Lombardia,Lombardy,19868,30703,10060574,10.060574,1974.837619,3051.813942,14483,1439.579889,100,100,91
2020-03-24T17:00:00,Marche,Marche,2497,2736,1525271,1.525271,1637.086131,1793.779597,1365,894.922935,73,55,67
2020-03-24T17:00:00,Molise,Molise,55,73,305617,0.305617,179.9638109,238.8610581,48,157.0593259,,,46
2020-03-24T17:00:00,Piemonte,Piedmont,5124,5515,4356406,4.356406,1176.198913,1265.951796,3618,830.5011057,80,55,94
2020-03-24T17:00:00,Puglia,Apulia,940,1005,4029053,4.029053,233.3054442,249.4382675,665,165.0511919,32,45,79
2020-03-24T17:00:00,Sardegna,Sardinia,395,421,1639591,1.639591,240.9137401,256.7713533,304,185.4120936,,,70
2020-03-24T17:00:00,Sicilia,Sicily,799,846,4999891,4.999891,159.8034837,169.2036886,609,121.8026553,14,21,67
2020-03-24T17:00:00,Toscana,Tuscany,2519,2699,3729641,3.729641,675.4001256,723.6621434,1646,441.3293397,23,25,79
2020-03-24T17:00:00,Trentino-Alto Adige,Trentino-Alto Adige/South Tyrol,1674,1891,1072276,1.072276,1561.165222,1763.538492,1215,1133.10379,,,47
2020-03-24T17:00:00,Umbria,Umbria,624,648,882015,0.882015,707.4709614,734.681383,451,511.3291724,,,66
2020-03-24T17:00:00,Valle d'Aosta,Aosta,379,400,125666,0.125666,3015.931119,3183.040759,264,2100.806901,,,82
2020-03-24T17:00:00,Veneto,Veneto,5351,5948,4905854,4.905854,1090.737719,1212.429069,3244,661.250824,37,33,74
