Province_State,total,new,pop.per.mil,total.per.pop,new.per.pop,taste,smell,hearing,sight,covid
Alabama,5317,1364,4.895077296,1086.193267,278.6472853,16,17,20,25,47
Alaska,329,44,0.737956555,445.825703,59.62410618,,,100,,38
Arizona,5256,1447,7.16690653,733.3708034,201.9002193,34,33,16,15,45
Arkansas,1990,492,3.014494885,660.143764,163.2114231,,,12,44,48
California,35465,10109,39.5172324,897.4565738,255.812449,21,12,13,15,43
Colorado,10473,2523,5.694822693,1839.038819,443.0339864,11,22,16,,53
Connecticut,20360,6371,3.571659937,5700.430713,1783.764444,74,44,7,,64
Delaware,2931,1005,0.967170664,3030.48894,1039.113403,70,,44,,57
District of Columbia,3098,1040,0.702281927,4411.333796,1480.886749,,100,,,45
Florida,27869,6241,21.29657228,1308.614346,293.0518544,26,12,17,14,41
Georgia,19881,5303,10.51967433,1889.887404,504.1030583,41,20,18,13,49
Hawaii,586,75,1.421342383,412.2863055,52.76701862,,37,,,45
Idaho,1736,272,1.754738016,989.321474,155.0088945,,30,46,100,42
Illinois,33059,9811,12.74959669,2592.944766,769.5145378,38,29,20,18,60
Indiana,12097,3570,6.687791776,1808.818277,533.8084856,22,15,9,17,56
Iowa,3641,1742,3.161115801,1151.808485,551.0712387,25,,31,57,54
Kansas,2164,723,2.912092993,743.1081375,248.2750386,41,18,28,,47
Kentucky,3204,1156,4.474044924,716.1304937,258.3791669,34,11,25,,58
Louisiana,24854,3336,4.659906815,5333.583049,715.8941439,36,25,15,27,44
Maine,888,153,1.339168415,663.0980763,114.2500064,,36,33,,32
Maryland,14193,4721,6.039493294,2350.031585,781.6880938,20,27,28,15,52
Massachusetts,41199,13035,6.901807044,5969.306261,1888.635819,50,26,21,38,60
Michigan,32667,5666,9.994084808,3268.633459,566.9353531,30,25,12,20,60
Minnesota,2567,872,5.601783882,458.2468824,155.6646987,23,12,21,34,48
Mississippi,4716,1629,2.986977405,1578.853591,545.3673662,65,22,27,49,57
Missouri,6066,1320,6.119095622,991.3229625,215.7181521,18,8,12,27,50
Montana,437,38,1.06176505,411.5788139,35.78946208,,,31,,48
Nebraska,1685,788,1.925666199,875.02185,409.2090313,36,36,15,,62
Nevada,3937,803,3.03306389,1298.027388,264.7487917,23,45,,,52
New Hampshire,1490,568,1.35498021,1099.647056,419.1943142,95,65,39,,60
New Jersey,92387,23563,8.907620709,10371.68095,2645.263058,74,41,13,19,54
New Mexico,1971,626,2.097493404,939.6930625,298.4514749,37,37,15,,52
New York,258361,55341,9.425788394,27410.01487,5871.233014,58,51,21,17,47
North Carolina,7134,2021,10.37163188,687.8377563,194.8584392,12,14,13,9,49
North Dakota,644,303,0.759325765,848.120833,399.038218,,,41,,100
Ohio,13725,6440,11.69437003,1173.641673,550.6923405,11,11,11,,49
Oklahoma,2807,623,3.948714824,710.8641989,157.7728521,21,42,26,,53
Oregon,2004,371,4.184880722,478.8666949,88.65246697,16,16,7,60,47
Pennsylvania,35249,9784,12.80845933,2752.009364,763.8701698,20,10,9,15,54
Rhode Island,5500,2249,1.057251096,5202.170062,2127.214631,56,38,70,,75
South Carolina,4439,886,5.086464047,872.7084196,174.1878035,15,25,28,22,54
South Dakota,1755,767,0.883394301,1986.655335,868.241961,,,40,,50
Tennessee,7394,1567,6.769245603,1092.293061,231.4881291,43,7,13,16,49
Texas,20574,5568,28.6683114,717.6564992,194.2214148,14,6,11,18,49
Utah,3297,880,3.162735611,1042.45198,278.2401403,41,14,21,32,47
Vermont,818,66,0.626215016,1306.260596,105.3951092,,,,,30
Virginia,9630,3448,8.522545386,1129.944115,404.5739675,29,14,18,11,54
Washington,12563,1764,7.534383013,1667.422532,234.1266693,22,29,16,26,40
West Virginia,908,268,1.803508772,503.463035,148.5992218,100,68,21,,44
Wisconsin,4625,1070,5.821344477,794.4900045,183.8063362,35,16,17,18,46
Wyoming,443,161,0.576973288,767.7998434,279.042381,,,59,,62
