date,trend.taste,trend.smell,media.taste.not,media.smell.not,media.taste,media.smell,new.per.pop,country
2020-03-04,5,2,0,0,0,0,0.097800121,US
2020-03-05,2,3,0,0,0,0,0.214529298,US
2020-03-06,2,2,0,0,0,0,0.141967918,US
2020-03-07,3,2,0,0,0,0,0.375426272,US
2020-03-08,4,2,0,0,0,0,0.359652059,US
2020-03-09,3,1,0,0,0,0,0.201909928,US
2020-03-10,6,2,0.000249657,0,9.720844365,0,0.612039469,US
2020-03-11,2,1,0,0,0,0,1.252472522,US
2020-03-12,4,1,0,0,0,0,1.425988866,US
2020-03-13,3,2,0,0.000123716,0,4.817127565,1.861357149,US
2020-03-14,3,2,0,0,0,0,2.239938264,US
2020-03-15,4,4,0.000196967,0,7.669261789,0,0.1924454,US
2020-03-16,5,4,0,0,0,0,4.29058597,US
2020-03-17,5,5,0.000107793,0,4.197137232,0,5.489426167,US
2020-03-18,8,6,0,0,0,0,8.754688284,US
2020-03-19,6,7,0,0,0,0,16.44303976,US
2020-03-20,9,10,0.000130565,0.000261131,5.083802338,10.16760468,16.7048917,US
2020-03-21,15,13,0,0,0,0,19.91021181,US
2020-03-22,35,42,0.001007811,0.001511716,39.24095954,58.86143931,24.88539862,US
2020-03-23,78,100,0.002568262,0.002568262,100,100,31.6115231,US
2020-03-24,61,80,0.000743402,0.001610705,28.94573815,62.715766,31.71247806,US
2020-03-25,45,59,0.000123168,0.00172435,4.795768211,67.14075495,37.93698256,US
2020-03-26,38,53,0.000373042,0.00087043,14.52505923,33.89180487,56.90389642,US
2020-03-27,31,31,0.00039557,0.001318565,15.40223185,51.34077282,56.14988904,US
2020-03-28,43,50,0.000860338,0.001720677,33.49886043,66.99772086,62.16617392,US
2020-03-29,36,35,0.000537924,0.000268962,20.94504686,10.47252343,61.25126956,US
2020-03-30,29,31,0.001085629,0.001085629,42.27096442,42.27096442,65.82894621,US
2020-03-31,25,30,0.000341491,0.000910643,13.29658808,35.45756822,82.85563185,US
2020-04-01,25,28,0.000731351,0.000487567,28.47648131,18.98432087,78.90576889,US
2020-04-02,29,31,0.000467672,0.00058459,18.20967712,22.7620964,95.73369945,US
2020-04-03,29,23,0.000508453,0.00038134,19.79755541,14.84816656,100.1157759,US
2020-04-04,26,26,0,0.000751503,0,29.26115389,104.5357104,US
2020-04-05,28,20,0.000286287,0.000858861,11.14710624,33.44131873,88.6763165,US
2020-04-06,33,29,0.000285063,0.000570125,11.09944188,22.19888375,92.98898637,US
2020-04-07,19,19,0.000943523,0.001213101,36.7378211,47.23434141,96.96724292,US
2020-04-08,18,21,0.000392259,0.000784519,15.27334288,30.54668575,99.31760067,US
2020-04-09,17,13,0,0.000282606,0,11.00377055,107.4413204,US
2020-04-10,15,12,0.000321285,0.000160643,12.50982879,6.254914394,106.3371255,US
2020-04-11,12,23,0.000261712,0,10.19022301,0,93.99538116,US
2020-04-12,20,14,0,0,0,0,90.88470634,US
2020-04-13,16,18,0.000633312,0.000949968,24.65917803,36.98876704,79.81751841,US
2020-04-14,16,21,0.000516796,0.000344531,20.12239902,13.41493268,85.27855099,US
2020-04-15,16,18,0.000402414,0.001207243,15.66874934,47.00624801,90.30737013,US
2020-04-16,16,13,0.000688137,0.000275255,26.79386327,10.71754531,98.34590914,US
2020-04-17,12,16,0,0,0,0,101.2325901,US
2020-04-18,15,11,0,0.000812128,0,31.62169094,88.96656202,US
2020-04-19,15,12,0,0,0,0,83.04176757,US
2020-04-20,10,11,0.000473784,0.000947568,18.44765103,36.89530206,79.7134086,US
2020-04-21,16,10,0.000688137,0.000275255,26.79386327,10.71754531,86.11142944,US
2020-04-22,10,12,,0.001362398,0,53.04746881,88.87822643,US
2020-04-23,10,11,,0.000667468,0,25.98908163,106.8008874,US
2020-04-24,10,11,,0.000736485,0,28.67641929,114.6028132,US
2020-04-25,15,9,,0.000278242,0,10.83384588,103.3652638,US
2020-04-26,15,13,,0.000612745,0,23.85835913,86.96323695,US
2020-04-27,17,14,,0.001421352,0,55.34295309,70.64954574,US
2020-04-28,,,,0.0005997,0,23.35043005,76.89613414,US
2020-03-04,0,0,0,0,0,0,9.72505658,Italy
2020-03-05,10,13,0,0,0,0,12.74032114,Italy
2020-03-06,5,5,0,0,0,0,12.88942763,Italy
2020-03-07,6,11,0,0,0,0,20.65953246,Italy
2020-03-08,11,14,0,0,0,0,24.71854245,Italy
2020-03-09,7,5,0,0,0,0,29.7715957,Italy
2020-03-10,5,7,0,0.000153539,0,6.00337786,16.18633778,Italy
2020-03-11,9,7,0,0,0,0,38.32036775,Italy
2020-03-12,22,10,0,0,0,0,43.92014479,Italy
2020-03-13,37,25,0,0,0,0,42.19713647,Italy
2020-03-14,41,38,0,0.000200521,0,7.840385001,57.93615479,Italy
2020-03-15,42,31,0,0,0,0,59.47692184,Italy
2020-03-16,32,29,0,0,0,0,53.56236444,Italy
2020-03-17,94,96,0.000304136,0.000456204,23.69221411,17.83759124,58.41660903,Italy
2020-03-18,100,88,0.000306044,0.000306044,23.84085692,11.96633512,69.69900006,Italy
2020-03-19,83,86,0,0,0,0,88.17163734,Italy
2020-03-20,59,55,0,0,0,0,99.17238277,Italy
2020-03-21,71,76,0,0,0,0,108.6323612,Italy
2020-03-22,55,70,0.000526593,0.000263296,41.02159031,10.29489205,92.11467561,Italy
2020-03-23,49,82,0.000838926,0.001677852,65.35234899,65.60402685,79.3412197,Italy
2020-03-24,81,67,0.001283697,0.000160462,100,6.27406932,86.96221804,Italy
2020-03-25,67,72,0,0,0,0,86.31608992,Italy
2020-03-26,49,35,0.00016852,0,13.12773846,0,101.9391365,Italy
2020-03-27,44,39,0,0.000164204,0,6.420361248,98.72506331,Italy
2020-03-28,34,19,0,0,0,0,98.97357412,Italy
2020-03-29,48,30,0,0,0,0,86.43206163,Italy
2020-03-30,43,25,0,0.000322789,0,12.62104584,67.09792019,Italy
2020-03-31,27,36,0,0,0,0,67.14762235,Italy
2020-04-01,18,29,0.000314268,0,24.4814582,0,79.22524798,Italy
2020-04-02,21,23,0,0.000163079,0,6.376386171,77.33656579,Italy
2020-04-03,19,17,0,0,0,0,75.96147261,Italy
2020-04-04,22,0,0.000214546,0,16.71315168,0,79.6062979,Italy
