x.col,y.col,country,cor,p.val,conf.min,conf.max
trend.taste,trend.smell,Italy,0.926538226,3.68835E-24,0.876754232,0.956676652
trend.taste,trend.smell,US,0.972901587,2.20062E-35,0.953783639,0.984175222
trend.taste,media.taste.not,Italy,0.211243116,0.121582398,-0.057263219,0.451251184
trend.taste,media.taste.not,US,0.740809185,1.16031E-09,0.580548382,0.845812103
trend.smell,media.smell.not,Italy,0.035637113,0.796172733,-0.231852094,0.298115777
trend.smell,media.smell.not,US,0.787753185,9.6405E-13,0.660491203,0.871017542
trend.taste,new.per.pop,Italy,0.610923598,7.29076E-07,0.412479588,0.754013115
trend.taste,new.per.pop,US,0.269014741,0.047031092,0.004003272,0.498718922
trend.smell,new.per.pop,Italy,0.589579395,2.1777E-06,0.384409083,0.739248019
trend.smell,new.per.pop,US,0.185431312,0.175291132,-0.083998103,0.429594828
