date,trend.taste,trend.smell,media.taste,media.smell,new.cases.per.pop
04-03-20,5,5,0,0,9.72505658
05-03-20,11,5,0,0,12.74032114
06-03-20,0,5,0,0,12.88942763
07-03-20,23,18,0,0,20.65953246
08-03-20,0,14,0,0,24.71854245
09-03-20,7,12,0,0,29.7715957
10-03-20,10,8,0,0.00026178,16.18633778
11-03-20,15,22,0,0,38.32036775
12-03-20,13,8,0,0,43.92014479
13-03-20,23,19,0,0,42.19713647
14-03-20,31,40,0,0,57.93615479
15-03-20,44,50,0,0,59.47692184
16-03-20,33,47,0,0,53.56236444
17-03-20,88,100,0.000107147,0.000262192,58.41660903
18-03-20,53,70,0.000108225,0.000263922,69.69900006
19-03-20,74,57,0,0,88.17163734
20-03-20,50,78,0,0,99.17238277
21-03-20,74,67,0,0,108.6323612
22-03-20,54,40,0.000210615,0.00044843,92.11467561
23-03-20,46,62,0.000484086,0.001991465,79.3412197
24-03-20,48,78,0.000566829,0.000267094,86.96221804
25-03-20,69,49,0,0,86.31608992
26-03-20,34,50,0.00011892,0,101.9391365
27-03-20,44,45,0,0,98.72506331
28-03-20,25,22,0,0,98.97357412
29-03-20,26,46,0,0,86.43206163
30-03-20,29,41,0,0.000270051,67.09792019
31-03-20,42,33,0,0,67.14762235
01-04-20,9,17,0.000107112,0,79.22524798
02-04-20,24,20,0,0.000283366,77.33656579
03-04-20,28,13,0,0,75.96147261
04-04-20,25,20,0.000193611,0,79.6062979
05-04-20,20,9,0,0,71.50484531
06-04-20,9,12,0,0,59.62602833
07-04-20,20,8,0.000232288,0.000540249,50.34829122
08-04-20,15,5,0.000113817,0.000546747,63.55249922
09-04-20,5,10,0,0,69.64929789
10-04-20,13,19,0,0,65.4577488
11-04-20,21,9,0,0,77.76731787
12-04-20,10,16,0,0.002527806,67.79375047
13-04-20,17,6,0.000400855,0.000365364,52.23697342
14-04-20,15,10,0.000123793,0,49.23827625
15-04-20,10,20,0,0,44.185223
16-04-20,10,18,0.000100472,0.000214225,62.72412983
17-04-20,10,13,0.000335345,0.000230468,57.86988524
18-04-20,6,14,0,0,57.83675046
19-04-20,8,16,0.00038219,0,50.48083032
20-04-20,11,16,0.000113779,0.001377094,37.37602665
21-04-20,7,10,0,0.000457771,45.21240103
22-04-20,17,12,0.000310206,0.001321586,55.83209655
23-04-20,5,5,0.00010826,0.000476644,43.83730786
24-04-20,8,5,0,0,50.05007824
25-04-20,17,6,0.000412031,0,39.04933281
26-04-20,5,11,0,0,38.50260902
27-04-20,5,5,0,0,28.81068721
28-04-20,7,9,0.000202245,0.000218198,34.64240768
29-04-20,7,10,0,0,34.55957074
30-04-20,5,10,0,0,31.01414978
01-05-20,16,11,0,0,32.55491683
02-05-20,8,11,0.000190876,0,31.47803663
03-05-20,0,14,0.000205128,0,23.01210152
04-05-20,10,25,0.000111161,0.000214638,20.22878038
05-05-20,5,7,0,0,17.80994178
06-05-20,7,5,0,0,23.92330784
07-05-20,13,10,0,0,23.21091017
08-05-20,5,5,0,0.00022482,21.98492348
09-05-20,12,6,0,0,17.94248088
10-05-20,6,6,0.000209118,0,13.28704494
11-05-20,7,12,0,0,12.32613645
12-05-20,10,20,0,0,23.22747756
13-05-20,0,5,0,0,14.71184028
14-05-20,7,8,0.000114771,0,16.4348486
15-05-20,5,5,0,0,13.0716689
16-05-20,6,0,0,0,14.49646424
17-05-20,6,12,0,0,11.1829867
18-05-20,5,7,0.000112082,0,7.471891853
19-05-20,0,10,0,0.000670241,13.4692862
20-05-20,10,10,0.000111894,0,11.01731282
21-05-20,5,8,0.000321647,0.001073653,10.6362629
22-05-20,5,11,0,0,10.80193678
23-05-20,6,0,0,0,11.08358237
24-05-20,0,7,0,0,8.797282869
25-05-20,8,16,0.000289981,0.000220361,4.97021631
26-05-20,5,8,0.000111819,0,6.577252917
27-05-20,5,10,0,0,9.675354417
28-05-20,5,0,0,0.00021263,9.824460906
29-05-20,0,0,0,0,8.548772053
30-05-20,18,6,0,0,6.892033283
31-05-20,0,0,0,0,5.881422634
01-06-20,0,11,0.000116686,0.000242072,2.948995011
02-06-20,12,9,0,0,5.268429289
03-06-20,7,0,0,0,5.318131452
04-06-20,9,5,9.51E-05,0,2.932427623
05-06-20,10,5,0,0,8.581906829
06-06-20,6,6,0.000194894,0,4.473194679
07-06-20,0,6,0.000210172,0,3.263775377
08-06-20,5,0,0,0,4.638868556
09-06-20,5,5,0,0,4.688570719
10-06-20,0,5,0,0,3.346612315
11-06-20,5,5,0,0,6.279039938
12-06-20,6,0,0.00024667,0,2.700484195
13-06-20,0,6,0,0.00030175,5.732316144
14-06-20,13,6,0,0.000358423,5.599777043
15-06-20,0,0,0,0,5.019918473
16-06-20,0,0,0,0,3.479151417
17-06-20,5,5,0.000340406,0,5.450670553
18-06-20,5,0,0,0,5.516940104
19-06-20,0,6,0,0,4.158414313
20-06-20,7,7,0,0,4.340655577
21-06-20,0,7,0,0,3.711094845
22-06-20,5,5,0,0.000917011,3.611690519
23-06-20,6,6,0.000370508,0,2.021221299
24-06-20,8,5,0,0,3.147803663
25-06-20,0,6,0,0,4.903946759
26-06-20,0,0,0,0,4.290953414
27-06-20,7,0,0,0,2.899292848
28-06-20,6,0,0,0,2.88272546
29-06-20,11,6,0,0,2.08749085
30-06-20,11,5,0,0,2.352569053
01-07-20,11,0,0,0,3.0981015
02-07-20,8,0,0,0.000236855,3.330044928
03-07-20,0,0,0.000134789,0,3.694527457
04-07-20,0,0,0,0,3.89333611
05-07-20,13,20,0,0,3.180938438
06-07-20,0,0,0.000275028,0,3.446016642
07-07-20,6,0,0,0,2.286299503
08-07-20,8,6,0,0,3.197505826
09-07-20,0,0,0,0,3.793931783
10-07-20,6,0,9.93E-05,0,4.572599005
11-07-20,0,0,0,0,3.114668888
12-07-20,7,14,0.000341355,0,3.876768722
13-07-20,0,0,0.000314399,0,2.799888521
14-07-20,0,0,0,0,1.888682198
15-07-20,11,0,0,0,2.700484195
16-07-20,6,6,0,0,3.810499171
17-07-20,0,0,0,0,3.860201334
18-07-20,0,0,0,0,4.125279537
19-07-20,7,7,0,0,3.628257906
20-07-20,0,0,0.000108921,0,3.147803663
21-07-20,6,0,0,0,2.137193013
22-07-20,6,0,0,0,4.672003332
23-07-20,6,0,0,0,5.069620636
24-07-20,6,6,0,0,4.1749817
25-07-20,0,7,0,0.001149425,4.556031618
26-07-20,10,7,0,0,4.224683864
27-07-20,9,12,0,0,2.816455909
28-07-20,6,6,0,0,3.512286192
29-07-20,0,6,0,0,4.787975045
30-07-20,0,6,9.31E-05,0,6.395011652
31-07-20,0,0,0,0,6.279039938
01-08-20,0,0,0,0,4.887379372
02-08-20,7,0,0,0,3.95960566
03-08-20,0,6,0.000543833,0.000361272,2.634214644
04-08-20,11,6,0,0,3.147803663
05-08-20,9,6,0,0,6.361876877
06-08-20,0,0,0,0,6.660089856
07-08-20,0,6,0,0,9.145198011
08-08-20,0,0,0,0,5.748883532
09-08-20,0,7,0,0,7.670700505
10-08-20,0,6,0,0,4.290953414
11-08-20,9,6,0,0.000165153,6.825763733
12-08-20,0,10,0,0,7.968913484
13-08-20,6,7,0.000582694,0,8.664743767
14-08-20,0,10,0,0,9.50968054
15-08-20,0,0,0,0,10.42088686
16-08-20,7,0,0,0,7.935778708
17-08-20,9,6,0.000107828,0.000188893,5.301564064
18-08-20,6,0,0,0,6.676657243
19-08-20,0,0,0.000301538,0,10.6362629
20-08-20,13,7,9.88E-05,0,13.99944261
21-08-20,6,13,0,0,15.68931615
22-08-20,0,7,0,0,17.74367223
